Päivä     ; Koe klo    ; Valintakokeen nimi; Koekoodi; Osallistujat yhteensä; Halli 6A osallistujat; Halli 6B osallistujat; Halli 7A osallistujat; Halli 7B osallistujat; Työvuoro A klo; Työvuoro A hlömäärä; Työvuoro B klo; Työvuoro B hlömäärä
23.05.2025; 09:00-11:00; Koulutus      ; KO       ;                  0;                  0;                  0;                     0;                   0; 09:00-11:00    ;                  0;               ;                    
23.05.2025; 12:00-13:30; Demo 1     ; DE       ;                  0;                  0;                  0;                     0;                   0; 12:00-13:30    ;                  0;               ;                    
23.05.2025; 13:30-15:00; Demo 2     ; DE       ;                  0;                  0;                  0;                     0;                   0; 13:30-15:00    ;                  0;               ;                    
23.05.2025; 15:00-16:30; Demo 3     ; DE       ;                  0;                  0;                  0;                     0;                   0; 15:00-16:30    ;                  0;               ;                    
02.06.2025; 10:00-14:00; Valintakoe A      ; A       ;                  3321;                  1124;                  1260;                     0;                   937; 08:30-15:00    ;                  47;               ;                    
26.05.2025 ; 14:00-18:30; Valintakoe B      ; B       ;                  4082;                  1124;                  1260;                   648;                  1050; 12:30-19:30   ;                  41;               ;                    
05.06.2025  ; 09:00-12:00 ; Valintakoe C      ; C       ;                  1633;                  1124;                   509;                     0;                     0; 07:30-13:00    ;                   0; 07:30-15:00    ;                  23
04.06.2025  ; 14:00-17:30; Valintakoe D      ; D       ;                  3704;                  1124;                  1260;                   270;                  1050; 12:30-18:30   ;                  37;               ;                    
26.05.2025 ; 09:00-12:00 ; Valintakoe E      ; E       ;                  2123;                  1124;                   999;                     0;                     0; 07:30-13:00    ;                  13; 07:30-15:00    ;                  17
04.06.2025  ; 09:00-12:00 ; Valintakoe F      ; F       ;                  6046;                  2248;                  1846;                   902;                  1050; 07:00-13:00    ;                  70; 07:00-15:00    ;                  16
05.06.2025  ; 14:00-18:00; Valintakoe G      ; G       ;                  6850;                  2248;                  2520;                   902;                  1180; 12:30-19:00   ;                  75;               ;                    
03.06.2025  ; 10:00-14:00; Valintakoe H      ; H       ;                  2160;                  1124;                  1036;                     0;                     0; 08:30-15:00    ;                  31;               ;                    
06.06.2025  ; 10:00-15:00; Valintakoe I      ; I       ;                  1539;                  1124;                   416;                     0;                     0; 08:30-16:00    ;                  22;               ;                    
